id	simpsons
s20011_0001	0.936585851858368
s20011_0002	0.950998531834743
s20011_0003	0.97164477599499
s20011_0004	0.974475152898465
s20011_0005	0.96815360693267
s20011_0006	0.982566902527277
s20011_0007	0.960505024807605
s20011_0008	0.953986599651624
s20011_0009	0.985883839982792
s20011_0010	0.94827240188088
s20011_0011	0.973770660994172
s20011_0013	0.962706689793379
s20011_0014	0.979320878118957
s20011_0015	0.95218433393152
s20011_0016	0.966610271332108
s20011_0017	0.971700872982087
s20011_0018	0.923446727072026
s20011_0019	0.955589350861492
s20011_0020	0.953089507826458
s20011_0021	0.974955086431186
s20011_0022	0.967465040602173
s20011_0023	0.908519935395491
s20011_0024	0.98865432910354
s20011_0025	0.963009240400452
s20011_0026	0.96590629192907
s20011_0027	0.930861350374207
s20011_0028	0.91916499551958
s20011_0029	0.975800485680108
s20011_0030	0.971887397894002
s20011_0031	0.941362710667942
s20011_0032	0.915794945822614
s20011_0033	0.965054703417545
s20011_0034	0.957533324871354
s20011_0035	0.98613731578213
s20011_0036	0.744767235872021
s20011_0037	0.940580988366549
s20011_0038	0.91782809339323
s20011_0039	0.974580192173182
s20011_0040	0.839716971335873
s20011_0041	0.952128237037126
s20011_0042	0.8408933369299
s20011_0043	0.972456536664319
s20011_0044	0.936837243375889
s20011_0045	0.97923620135568
s20011_0046	0.992695657490089
s20011_0047	0.98307814967701
s20011_0048	0.980278648467675
s20011_0049	0.965962142329671
