.y.,group1,group2,effsize,taxon,n1,n2,magnitude
growth_rate,H,T1DM,0.04062894861821827,Bacteroides,26594,56329,small
growth_rate,H,T3cDM,0.0758838477943605,Bacteroides,26594,42397,small
growth_rate,T1DM,T3cDM,0.060236044055257204,Bacteroides,56329,42397,small
growth_rate,H,T1DM,0.5125017316371061,Blautia,26594,35669,large
growth_rate,H,T3cDM,0.20237995306315784,Blautia,26594,36796,small
growth_rate,T1DM,T3cDM,0.4933436768521069,Blautia,35669,36796,moderate
growth_rate,H,T1DM,0.5474286179275062,Akkermansia,11225,20483,large
growth_rate,H,T3cDM,0.542845458286604,Akkermansia,11225,27541,large
growth_rate,T1DM,T3cDM,0.16837958166081338,Akkermansia,20483,27541,small
growth_rate,H,T1DM,0.15302155748042448,Faecalibacterium,20997,51931,small
growth_rate,H,T3cDM,0.18483712344085979,Faecalibacterium,20997,28316,small
growth_rate,T1DM,T3cDM,0.14048014732643976,Faecalibacterium,51931,28316,small
growth_rate,H,T1DM,0.18499628904455262,Alistipes,16869,41782,small
growth_rate,H,T3cDM,0.5057774566594951,Alistipes,16869,23929,large
growth_rate,T1DM,T3cDM,0.4513610726411133,Alistipes,41782,23929,moderate
growth_rate,H,T1DM,0.249683078171818,Barnesiella,5924,16682,small
growth_rate,H,T3cDM,0.8651999847172764,Barnesiella,5924,2946,large
growth_rate,T1DM,T3cDM,0.6281614162139846,Barnesiella,16682,2946,large
growth_rate,H,T1DM,0.29572100996779865,Bifidobacterium,8464,9275,small
growth_rate,H,T3cDM,0.0924328266964564,Bifidobacterium,8464,8123,small
growth_rate,T1DM,T3cDM,0.4271781087520111,Bifidobacterium,9275,8123,moderate
growth_rate,H,T1DM,0.2944732305247509,Roseburia,8288,8066,small
growth_rate,H,T3cDM,0.0278634473468646,Roseburia,8288,16052,small
growth_rate,T1DM,T3cDM,0.041962006628787435,Roseburia,8066,16052,small
growth_rate,H,T1DM,0.13793741773379412,Subdoligranulum,13708,4884,small
growth_rate,H,T3cDM,0.4991369140169157,Subdoligranulum,13708,5300,moderate
growth_rate,T1DM,T3cDM,0.4652058008296171,Subdoligranulum,4884,5300,moderate
growth_rate,H,T1DM,0.18206041609658075,Ruminococcus,8506,10602,small
growth_rate,H,T3cDM,0.7612642960756882,Ruminococcus,8506,2649,large
growth_rate,T1DM,T3cDM,0.41353884363592025,Ruminococcus,10602,2649,moderate
